"אינדקס","מקור","תרגום","הערות"
"0","about | activator | am | an | and | another | any | around | at | bad | been | big | cadilac | can | castle | clearwater | cocktail | corvette | cotton | creme | cubby | damn | delphoria | did | don | every | evidence | for | front | fucking | glove | good | got | have | hers | his | honorable | hurry | if | illegal | in | into | is | it | its | jason | kim | large | later | leroy | lets | lid | little | loaded | lpd | malcolm | marvin | may | mine | miranda | more | morris | mostwanted | my | no bail | nobail | now | of | oh | other | parking | patrol car | paul | piece of | pigeon | please | powdery | quickly | r j | safety | say | serial | slowly | small | some | soon | steve | stolen | that | the | then | these | this | those | through | till | to | trick | unlawful | until | us | victor | video | voice | want | wanted | we | what | whats | when | white | why | will | would | you | young | your","את","זו רשימה של מילים שפשוט מתעלמים מהן.
איו צורך לתרגם, אלא לכתוב מילים דומות בעברית."
"1","anyword","","אין לתרגם"
"2","examine | feel | inspect | investigate | look | look on | looking | read | reading | see | show | view","הבט | הסתכל | בחן | קרא",""
"3","do | fix | making | prepare","עשה | תקן | הכן",""
"4","no | nothing","לא | כלום",""
"5","quit","צא מהמשחק | פרוש",""
"6","location | position","מיקום | מקום | אתר",""
"7","slow","איטי | לאט",""
"8","normal","נורמלי | רגיל",""
"9","fast","מהיר | מהר",""
"10","fastest","הכי מהר | הכי מהיר",""
"11","pause","עצירה | השהייה",""
"12","wet","רטוב | לח",""
"13","restart","התחלה מחדש | התחל מחדש",""
"14","get | grab | obtain | pick | pick up | snatch | take","הרם | קח",""
"15","backup | backups | help | help me","גיבוי | תגבורת | עזרה | הצילו | עזור | עזרי | תעזור | תעזרי",""
"16","hit | kick | punch | slap | stomp | strike","הכה | הלום | חבוט | בעט |תקוף | סטור",""
"17","bye | goodbye | so long","להתראות | שלום | ביי",""
"18","sent","נשלח",""
"19","accident | area | bar | blue room | building | cafe | carols | casino | chamber | court | court room | courthouse | courtroom | cove | hall | hallway | house | joint | lot | lounge | office | park | restaurant | room | rooms | scene | store | storeroom | tavern | willys","תאונה | אזור | שטח | בר | חדר כחול | בניין | מבנה | בית קפה | בית המשפט | אולם המשפט | מפרץ | אולם | לובי | מסדרון | פרוזדון | בית | מועדון | חניה | טרקלין | משרד | פארק | מסעדה | חדר | חדרים | זירה | חנות | מחסן | פאב | מסבאה | יששכר",""
"20","count","ספור",""
"21","dont move | freeze | halt | hold it | stop","אל תזוז | עמוד | עצור ",""
"22","hang","תלה",""
"23","pink slip | registration","מכתב פיטורין | רישיון רכב | רישום",""
"24","who","מי",""
"25","all | everything","הכל | הכול",""
"26","get up | rise | stand | stand up","קום | עמוד | התרומם",""
"27","feed","האכל",""
"28","curb | dirt | floor | ground | pavement | sidewalk | street","עיקול | לכלוך | רצפה | אדמה | מרצפת | מדרכה | רחוב",""
"29","stair | staircase | stairs | stairway | steps | upstairs","מדרגה | גרם מדרגות | מדרגות | מעלות | שלבים | למעלה",""
"30","pane | window | windows","שמשה | חלון | חלונות",""
"31","o | open | roll","תפתח | תגלגל | פתח",""
"32","move | moving | press | pull | push | shove | turn","תזוז | נע | תלחץ | תמשוך | תדחוף | תהדוף | תסובב | הזז | הנע | תזיז | תזיזו | לחץ",""
"33","enter | exit | get going | get in | get into | get moving | get out | go | go to | leave | lets go | ride | walk","תיכנס | תצא | תתחיל | תיכנס לתוך | תנוע | | לך | לך אל | תעזוב | בוא נלך | תיסע | תלך | כנס | היכנס | צא",""
"34","climb | climb on","תטפס | לטפס על",""
"35","answer | comfort | speak | talk","תענה | תנחם | תגיד | תדבר | דבר | אמור | שוחח",""
"37","bed","מיטה",""
"38","below | beneath | under","מתחת | למטה | תחת",""
"39","above | across | over | top of","מעל | מעבר | על | בראש",""
"40","cabinet | closet","ארון",""
"41","drawer | drawers","מגירה | מגירות",""
"42","carpet | carpets | rug | rugs","שטיח | שטיחים | מרבד | מרבדים",""
"43","out","בחוץ",""
"44","car keys | key | keys","מפתחות למכונית | מפתח | מפתחות",""
"45","drop | place | put | replace | return","תפיל | תניח | תשים | תחליף | תחזיר | החזר | שים | הפל | זרוק | הנח",""
"46","lay | lie","תשכב | לשכב | שכב",""
"47","swing","נדנדה",""
"48","top","עליון",""
